1260030470017839104	hermanito menor pedro #peru requiere ingresos sobrevivir pandemia inmigrantes diseñador gráfico barbero cocina limpia cuida mascotas ayúdame ayudarlo alguien seguro requerie servicios	2910
1336083649981263875	abandonan fuerza popular partido señora keiko fujimori no asistieron votar delegado elecciones descentralizadas no tendrán postulantes congreso ciudad blanca	770
1290695542759202816	seguimos poniendo hombro lucha covid #buenaventura entregó hoy tres grupos electrógenos hospital iii yanahuara asegurar energía necesaria atener pacientes afectados pandemia	592
1282728987270184961	#urgente nosocomios colapsados no hay personal médico quedan contagiando falta epps hoy hay cadáveres pasillos honorio delgado área autopsia tope atienda pueblo pdte @martinvizcarrac hilo	577
1327387518053060609	#marchanov quinto día consecutivo ciudadanos salieron calles protestar actual gobierno manuel merino no vizcarra perú dicen manifestantes video gustavo callapiña	536
1284893068156637185	#vizcarra presidente vizcarra región vive momento crítico médicos enfermeras familiares reaccionaron indignados final pdte no pudo ingresar hosp honorio delgado imagen frase corta	432
1284935012996001795	sacaron pacientes emergencia hospital pusieron carpas ambientes visita presidencial no encuentre servicio saturado enfermos si cárcel deben encubridores fuerza	424
1284917255227215872	#atención medio reclamos rechazo generalizado presidente @martinvizcarrac llegó personal médico vociferaba basta mentiras gente muere basta engaños #pandemia continúa haciendo estragos zona país	409
1284894097472356355	paso hoy durante visita presiente valiente personal salud salió denuncia no mentiras gobernador regional #covid #urgente	403
1327728518533406720	#ahora sociedad civil inicia marcha régimen manuel merino plaza armas #marchanacional #nov video @zintiafl	384
1327422178569162752	noche jóvenes universitarios reunieron plaza armas protestar gobierno manuel merino video @zintiafl	383
1293991218008002560	pacientes hospitalizados honorio delgado consumió dióxido cloro	364
1285198871287734272	mensaje nación fiestas patrias dado ayer dio señora celia capira pueda decir vizcarra guaripoleras no llegarán apagar voz #celiacapiradignidad	329
1333829815779135489	congresista candidato presidencial partido #danielurresti no recibido comerciantes plataforma andrés avelino cáceres abuchearon obligaron retirarse rápidamente local reunía simpatizantes	329
1283823391787679749	inaceptable médicos enfermeras técnicos hospital honorio delgado estén trabajando mes sueldos seguros epps suficientes grave contratos prometieron pago si @mefperu transfiere ojo @contraloriaperu	311
1233554014320635904	fiscalía reabre investigación ingeniera golpeó humilló vigía	279
1284957634337144833	paso hoy @ipsosperu hará encuestas ciudad no entró hospital rodeado polícias resultado gente sufriendo gritando vizcarra asesino repúdia	264
1291711557295132672	malditos han atentado celia capira han quemado carro matado mascotas amedrentaniento#arequipa @mariterebraschi	260
1244856352809377792	policía intervino ayer gimnasio strong jóvenes entrenaban si conductora programa vespertino panamericana tv edición regional	239
1286007084132294657	ministerio salud intervendrá tremenda crisis queridos arequipeños soliraridad deseo supere aprendan elegir minuto veía venir gran error impresentable gobernador pusieron recordar	237
1282377054114197506	presidente @martinvizcarrac desaira pueblo esperaba falta liderazgo gobernador ayer nuevos casos contagio hospitales colapso persiste lucha oxígeno cancela repentinamente visita después no quiere digan	219
1247337624156717056	entenderé ciudades cultas hermosas país pudo haber elegido tremendo anormal cáceres llica	215
1327417835358916608	#marchanov manifestantes siguen recorriendo calles centro ciudad reciben apoyo vecinos rechazan manuel merino presidente perú video gustavo callapiña	208
1326188150293721090	#ahora protestas centro histórico ciudad asunción mando manuel merino	203
1337880565383639040	empresario he contribuido posicionar #cusco #puno principales destinos turísticos nivel nacional comprometo regiones grandes atractivos turísticos #cajamarca lograremos @renovacionperu	195
1326657453371645952	#lima #ayacucho #cajamarca #chachapoyas #chiclayo #chimbote #nuevochimbote #cusco #huancayo #tarma #ica #iquitos #puno #tacna #trujillo siguen sumando mañana perú	194
1229623079514578944	#loúltimo fiscal valdiviezo decidió archivar investigación presunto delito discriminación habría cometido zuleika alatrista exvigía elena viza duele decisión dijo agraviada	192
1212759739278467072	denuncian presunta agresión gobernador elmer cáceres llica mujer camaná	184
1285570457278849024	partiendo profesionales salud balones oxígeno estrategia multisectorial dra #zulematomas @minsaperu integrar sociedad civil autoridades regionales podamos vencer #covid	176
1311397674600615941	mujeres estaban reportadas #desaparecidas han sido encontradas vida menor #junín caso julia años quien reportada desaparecida acaba encontrada enterra vivienda	173
1232326628337954819	mujer policíacargó niños adultos mayores puedan cruzar calle inundad cerca plataforma comercial andrés avelino cáceres	172
